word,rarity,pos,Definition,Sentence
larded,3,verb,Past tense of lard.,
larder,4,noun,"A cool room in a domestic house where food is stored, but larger than a pantry.",
larger,1,adj,Comparative of large.,
larges,1,noun,Plural of large.,
largos,3,noun,Plural of largo.,
larked,3,verb,Past tense of lark.,
larvae,3,noun,plural of larva,
larval,3,adj,Of or relating to larvae: Being a larva.,
larynx,3,noun,"A hollow muscular organ of the neck of mammals situated just below where the tract of the pharynx splits into the trachea and the oesophagus. It is involved in breath control and protection of the trachea, and, as it houses the vocal cords, sound production.",
lasers,2,noun,Plural of laser.,
lashed,3,verb,Past tense of lash.,
lashes,3,noun,Plural of lash.,
lasses,3,noun,Plural of lass.,
lassie,3,noun,"A young girl, a lass, especially one seen as a sweetheart.","I had been on a message for my father, and was walking home along the road, when I saw a tall, fine lassie coming over the bogland on the right hand side of the road."
lassos,3,noun,Plural of lasso.,
lasted,1,verb,Past tense of last.,
lastly,3,adv,Used to mark the beginning of the last in a list of items or propositions.,"Firstly, that's illegal; secondly, it has serious disadvantages; thirdly, it's not necessary; and lastly, did I mention that it's illegal?"
lately,2,adv,Recently; not long ago; of late; not long since.,I'd lately returned from Japan.
latent,3,adj,Existing or present but concealed or inactive.,
latest,2,adj,superlative form of late: most late,
lathed,4,verb,Past tense of lath.,
lather,3,noun,The foam made by rapidly stirring soap and water.,"Stately, plump Buck Mulligan came from the stairhead, bearing a bowl of lather on which a mirror and a razor lay crossed."
lathes,3,verb,Third-person singular present tense of lathe.,
latish,3,adj,Somewhat late.,
latkes,4,noun,Plural of latke.,
latter,2,adj,Relating to or being the second of two items.,"The archaic past participle shapen is only used in misshapen, ill-shapen, and well-shapen (the latter two are much less common, though)."
lattes,3,noun,Plural of latte.,
lauded,4,verb,Past tense of laud.,
laughs,2,noun,Plural of laugh.,
launch,2,verb,"To throw (a projectile such as a lance, dart or ball); to hurl; to propel with force.",
laurel,3,noun,"An evergreen shrub of species Laurus nobilis, having aromatic leaves of a lanceolate shape, with clusters of small, yellowish white flowers in their axils.",Laurel leaves were used in the Orient to promote amatory exercise.
lavage,3,noun,A washing.,
laving,4,verb,Present participle of lave.,
lavish,3,adj,Expending or bestowing profusely; profuse; prodigal.,"Mind you, clothes were clothes in those days. There was a great deal of them, lavish both in material and in workmanship."
lawful,3,adj,"Conforming to, or recognised by the laws of society.",Lawful money is always a land asset and can only be issued by an actual land jurisdiction government — not a corporation.
lawman,3,noun,The presiding justice of the supreme court.,
lawmen,3,noun,Plural of lawman.,
lawyer,2,noun,A professional person with a graduate law degree that qualifies for legal work (such as Juris Doctor),
laxest,3,adj,Superlative of lax.,
laxity,3,noun,"The state of being lax; looseness, lack of tension.",
layers,2,noun,Plural of layer.,
laying,2,verb,present participle and gerund of lay,
layman,3,noun,"Layperson, someone who is not an ordained cleric or member of the clergy.",
laymen,4,noun,plural of layman,
layoff,3,noun,A dismissal of employees from their jobs because of tightened budgetary constraints or work shortage (not due to poor performance or misconduct).,
layout,2,noun,A structured arrangement of items within certain limits.,The garden’s layout was designed for easy access to all plants.
layups,3,noun,Plural of layup.,
lazied,2,verb,Past tense of lazy.,
lazier,2,adj,Comparative of lazy.,
lazies,2,verb,Third-person singular present tense of lazy.,
lazily,3,adv,In a lazy manner.,
lazing,3,verb,Present participle of laze.,
leaded,1,verb,Past tense of lead.,
leaden,3,adj,"Of or related to the metal lead, particularly Resembling the color of lead, metallic or dark gray; (of daylight) dim, overcast.",
leader,2,noun,Any person who leads or directs.,
leafed,2,verb,Past tense of leaf.,
league,1,noun,A group or association of cooperating members.,"And let there be / 'Twixt us and them no league, nor amity."
leaked,2,verb,simple past and past participle of leak,
leaker,3,noun,Somebody who leaks information.,
leaned,3,verb,simple past and past participle of lean,
leaner,2,adj,Comparative of lean.,
leaped,3,verb,simple past and past participle of leap,
leaper,3,noun,One who leaps.,
learns,1,verb,Third-person singular present tense of learn.,
leased,2,verb,Past tense of lease.,
leaser,4,noun,Leaseman.,
leases,2,noun,Plural of lease.,
leaved,3,adj,"Having a leaf, leaves or folds.",
leaven,4,noun,Any agent used to make dough rise or to have a similar effect on baked goods.,
leaver,3,noun,One who leaves.,
leaves,2,noun,plural of leaf,
leched,4,verb,Past tense of lech.,
lecher,3,noun,A lecherous person: someone given to excessive sexual activity or debauchery.,
leches,4,noun,Plural of lech.,
ledger,3,noun,"A book for keeping notes; a record book, a register.",
ledges,3,noun,Plural of ledge.,
leered,4,verb,Past tense of leer.,
leeway,3,noun,The drift of a ship or aeroplane in a leeward direction.,
lefter,1,adj,Comparative of left.,
legacy,2,noun,Money or property bequeathed to someone in a will.,
legals,1,noun,Plural of legal.,
legate,3,noun,"A deputy representing the pope, specifically a papal ambassador sent on special ecclesiastical missions.",
legato,4,adv,"Smoothly, in a connected manner.","Play this passage legato, not portato."
legend,2,noun,"The life story of a saint (such stories are often embellished, but any kind is called a legend).",
legged,3,adj,Having legs of a certain specified type or number.,Many of the big African spiders are hairy-legged.
legion,3,adj,Numerous; vast; very great in number.,"Russia’s labor and capital resources are woefully inadequate to overcome the state’s needs and vulnerabilities, which are legion."
legman,3,noun,"A person hired to carry out errands or (often) menial tasks, frequently requiring travel from place to place; an errand boy or errand girl, a runner.",
legmen,3,noun,Plural of legman.,
legume,4,noun,The fruit or seed of leguminous plants (as peas or beans) used for food.,
lemmas,3,noun,Plural of lemma.,
lemons,2,noun,Plural of lemon.,
lemony,3,adj,"Resembling or characteristic of lemons, especially in terms of aroma, taste or colour.",
lemurs,4,noun,Plural of lemur.,
lender,3,noun,"One who lends, especially money; specifically, a bank or other entity that specializes in granting loans.",
length,2,noun,The distance measured along the longest dimension of an object.,
lenses,2,noun,Plural of lens.,
lentil,4,noun,"Any of several plants of the genus Lens, especially Lens culinaris, from southwest Asia, that have edible, lens-shaped seeds within flattened pods.",
lepers,3,noun,Plural of leper.,
lepton,4,noun,"A coin used since ancient times in Greece, serving in modern times as one hundredth of a phoenix, a drachma, and a euro (as the Greek form of the Eurocent).",
lesion,3,noun,A wound or injury.,
lessee,4,noun,"An individual or a corporation who has the right of use of something of value, gained through a lease agreement with the real owner of the property.","These automobiles will be covered for the three excluded perils, if loss is caused by the lessee or the rentee."
lessen,3,verb,To make less; to diminish; to reduce.,The thin glass that makes mirror tiles light in weight also tends to lessen their reflective quality.
lesser,2,adj,comparative form of little: more little,
lesson,2,verb,To give a lesson to; to teach.,
lessor,4,noun,The owner of property that is leased; the landlord to a lease.,
lethal,3,adj,"Of, pertaining to, or causing death; deadly; mortal; fatal.",
letter,2,noun,A symbol in an alphabet.,
letups,3,noun,Plural of letup.,
levees,3,noun,Plural of levee.,
levers,3,noun,Plural of lever.,
levied,3,verb,simple past and past participle of levy,
levier,4,noun,One who levies.,
levies,3,verb,Third-person singular present tense of levy.,
levity,4,noun,"A lightness of manner or speech, frivolity; flippancy; a lack of appropriate seriousness; an inclination to make a joke of serious matters.",
lewder,3,adj,Comparative of lewd.,
lewdly,3,adv,In a lewd manner.,
liable,3,adj,Bound or obliged in law or equity; responsible; answerable.,The surety is liable for the debt of his principal.
liaise,4,verb,To establish a liaison.,
lianas,3,noun,Plural of liana.,
libber,3,noun,One who supports liberation for some group.,
libels,3,noun,Plural of libel.,
libido,3,noun,Sexual urges or drives.,"Good grief man, control your libido!"
lichen,3,noun,"Any of many symbiotic organisms, being associations of algae and fungi, often found as white or yellow-to-blue–green patches on rocks, old walls, etc.",It was the same rich green that one sees on forest moss or on the lichen in caves: plants which like these grow in a perpetual twilight.
licked,3,verb,Past tense of lick.,
lidded,3,adj,Having a cover like a lid.,
lieder,2,noun,Plural of lied.,
liefer,4,adv,Comparative of lief.,
lieges,3,noun,Plural of liege.,
lifers,3,noun,Plural of lifer.,
lifted,2,verb,simple past and past participle of lift,
lifter,3,noun,Someone or something that lifts or assists in lifting. A weightlifter.,
ligate,4,verb,To bind with a ligature or bandage.,
lights,2,noun,plural of light,
lignin,4,noun,A complex non-carbohydrate aromatic polymer present in all wood.,
likely,1,adj,Probable; having a greater-than-even chance of occurring.,Rain is likely later this afternoon.
likens,4,verb,Third-person singular present tense of liken.,
liking,3,verb,present participle and gerund of like,
lilacs,3,noun,Plural of lilac.,
lilies,3,noun,plural of lily,
lilted,4,verb,Past tense of lilt.,
limber,3,adj,"Flexible, pliant, bendable.",
limbos,3,noun,Plural of limbo.,
limeys,4,noun,Plural of limey.,
limier,3,adj,Comparative of limy.,
liming,1,verb,Present participle of lime.,
limits,2,noun,Plural of limit.,
limned,4,verb,Past tense of limn.,
limped,3,verb,Past tense of limp.,
limper,3,adj,Comparative of limp.,
limpet,4,noun,"Any of various gastropods with a conical shell shape patelliform and a strong, muscular foot that they use to create strong suction to cling onto rocks or other hard surfaces.",
limpid,3,adj,"Clear, transparent or bright.",
limply,3,adv,"In a limp manner, without support or resistance.",
linden,4,noun,"Any of various deciduous trees of the genus Tilia, having heart-shaped leaves.",
lineal,3,adj,Pertaining to lines; consisting of lines.,
linear,2,adj,Having the form of a line; straight or roughly straight; following a direct course.,"The route taken does not have to be a perfectly straight line, just so long as it is linear and is followed consistently for each transect taken."
linens,3,noun,"Household textiles made of linen-like cloth (such as cotton fabric), including tablecloths and bed sheets. The singular, linen, of this sense is rare.",
liners,3,noun,Plural of liner.,
lineup,2,noun,"a physical or photographic queue of people allegedly involved in a crime, allowing a witness to identify them","Before viewing the lineup, each witness should be required to give to the officer in charge of the lineup a written description of the perpetrator of the crime."
linger,3,verb,"To stay or remain in a place or situation, especially as if unwilling to depart or not easily able to do so.",
lining,3,noun,A covering for the inside surface of something.,"The lobule margins, furthermore, are arched away from the lobe, with the consequence that (when fully inflated) the abaxial leaf surface forms the interior lining of the lobule."
linked,2,verb,Past tense of link.,
linker,3,noun,That which links.,
linkup,3,noun,A connection.,
linnet,4,noun,"A small passerine bird, the common linnet (Linaria cannabina syn. Carduelis cannabina), in the finch family Fringillidae, native to Europe, western Asia, and north Africa.",
lintel,4,noun,"A horizontal structural beam spanning an opening, such as between the uprights of a door or a window, and which supports the wall above.",
lipids,3,noun,Plural of lipid.,
lipped,3,adj,Having a raised lip.,
liquid,2,noun,"A substance that is flowing, and keeping no shape, such as water; a substance of which the molecules, while not tending to separate from one another like those of a gas, readily change their relative position, and which therefore retains no definite shape, except that determined by the containing receptacle; an inelastic fluid.",A liquid can freeze to become a solid or evaporate into a gas.
liquor,2,noun,A liquid obtained by cooking meat or vegetables (or both).,
lisped,3,verb,Past tense of lisp.,
lisper,3,noun,One who has a lisp.,
listed,1,verb,Past tense of list.,
listen,1,verb,To use one's sense of hearing and auditory cognition in an intentional way; to make deliberate use of one's ears; to pay attention to or wait for a specific sound.,Please listen carefully as I explain.
litany,3,noun,A ritual liturgical prayer in which a series of prayers recited by a leader are alternated with responses from the congregation.,
liters,3,noun,Plural of liter.,
lither,4,adj,comparative form of lithe: more lithe,
litmus,3,noun,"A dyestuff extracted from certain lichens, that changes color when exposed to pH levels greater than or less than certain critical levels.",
litter,3,noun,"Straw, grass, and similar loose material used as bedding for people or animals.",
little,1,adj,Small in size.,This is a little table.
lively,3,adj,"Full of life; energetic, vivacious.","Since sick people were apt to be present, he could not always depend on a lively young crowd in the same ward with him, and the entertainment was not always good."
livens,3,verb,Third-person singular present tense of liven.,
livers,2,noun,Plural of liver.,
livery,3,noun,"Any distinctive identifying uniform worn by a group, such as the uniform worn by chauffeurs and male servants.",
living,1,verb,present participle of live,
lizard,3,noun,"Any reptile of the order Squamata that is not a snake or part of Mosasauria — typically characterised by a rounded torso, a short neck with an elevated head, four limbs and a long tail, although some species are legless.","When held in the hand, the lizard produces an amorous stimulus."
llamas,3,noun,Plural of llama.,
llanos,3,noun,Plural of llano.,
loaded,2,verb,simple past and past participle of load,
loader,2,noun,A person or machine that loads something.,
loafed,3,verb,Past tense of loaf.,
loafer,3,noun,An idle person.,
loaned,2,verb,Past tense of loan.,
loaner,4,noun,One who loans; a lender.,
loathe,3,verb,"To detest, hate, or revile (someone or something).",I loathe scrubbing toilets.
loaves,3,noun,Plural of loaf.,
lobbed,3,verb,Past tense of lob.,
lobber,4,noun,One who throws or hits/kicks a ball in a high arc.,
locale,3,noun,The place where something happens.,"Being near running water and good shade, the explorers decided it was a good locale for setting up camp."
locals,1,noun,Plural of local.,
locate,3,verb,To place; to set in a particular spot or position.,
locked,2,verb,simple past and past participle of lock,
locker,3,noun,"A type of storage compartment with a lock, usually used to store personal possessions for public use, such as in schools, railway stations, place of work, gyms, sports centers.",The student placed her books in her locker when she arrived at school.
locket,3,noun,A pendant that opens to reveal a space used for storing a photograph or other small item.,
lockup,3,noun,A storage unit with a door secured by a padlock or deadbolt; a garage.,
locums,3,noun,Plural of locum.,
locust,3,noun,"Any of the grasshoppers, often polyphenic and usually swarming, in the family Acrididae that are very destructive to crops and other vegetation, especially migratory locusts (Locusta migratoria).",
lodged,2,verb,Past tense of lodge.,
lodger,4,noun,A person who lodges in another's house (compare tenant).,They took in a lodger to help cover the rent.
lodges,2,noun,Plural of lodge.,
lofted,3,verb,Past tense of loft.,
logged,2,verb,Past tense of log.,
logger,3,noun,A worker whose occupation is to harvest trees.,
loggia,3,noun,"A roofed, open gallery, usually on an upper level.",
logier,4,adj,comparative form of logy: more logy,
logins,3,noun,Plural of login.,
logjam,4,noun,"An excess of logs being conveyed on a river, so that their motion halts.",
logoff,3,noun,The process or an instance of logging off.,
logons,3,noun,Plural of logon.,
logout,3,noun,The act or process of logging out.,
loiter,4,verb,To stand about without any aim or purpose; to stand about idly.,
lolcat,3,noun,The deliberately misspelled and grammatically quirky form of English associated with such images' captions.,
lolled,4,verb,Past tense of loll.,
lollop,3,verb,To walk or move with a bouncing or undulating motion and at an unhurried pace.,
lonely,2,adj,Unhappy due to feeling isolated from contact with other people.,
loners,3,noun,Plural of loner.,
longed,3,verb,simple past and past participle of long,
longer,1,adj,comparative form of long: more long,
loofah,4,noun,"Any of several tropical vines of the genus Luffa, having almost cylindrical fruit with a spongy, fibrous interior; the dishcloth gourd.",
looked,1,verb,Past of look.,
looker,3,noun,One that looks or is actively looking; a watcher; an observer.,
lookup,2,noun,An attempt to retrieve data.,
loomed,3,verb,Past tense of loom.,
loonie,3,noun,The Canadian dollar coin in common circulation since 1987.,
looped,2,verb,Past tense of loop.,
loosed,2,verb,Past tense of loose.,
loosen,3,verb,To make loose.,
looser,3,noun,"One who looses, who sets loose or frees.",
looses,2,verb,Third-person singular present tense of loose.,
looted,3,verb,Past tense of loot.,
looter,3,noun,"One who loots, who steals during a general disturbance such as a riot or natural disaster.",
loping,4,verb,Present participle of lope.,
lopped,3,verb,Past tense of lop.,
lorded,1,verb,Past tense of lord.,
lordly,3,adj,Of or relating to a lord.,
losers,2,noun,Plural of loser.,
losing,2,verb,present participle and gerund of lose,
losses,1,noun,Plural of loss.,
lotion,3,noun,A low- to medium-viscosity topical preparation intended for application to unbroken skin.,
louche,4,adj,Of questionable taste or morality; decadent.,"Upstairs Downstairs hosts the Kennedys and Wallis Simpson (these days, in British culture, the archetypal louche American)."
louder,2,adj,Comparative of loud.,
loudly,3,adv,In a loud manner; at a high volume.,He spoke loudly so that his brother could hear him from across the street.
loughs,3,noun,Plural of lough.,
lounge,3,verb,"To relax; to spend time lazily; to stand, sit, or recline, in an indolent manner.","We lounge over the sciences, dawdle through literature, yawn over politics."
loured,3,verb,Past tense of lour.,
loused,4,verb,Past tense of louse.,
louses,4,noun,Plural of louse.,
louver,4,noun,A type of turret on the roof of certain medieval buildings designed to allow ventilation or the admission of light.,
lovely,2,adj,"Delightful for beauty, harmony, or grace.",It's a lovely day and the sun is shining.
lovers,2,noun,plural of lover,
loving,2,noun,The action of the verb to love.,
lowboy,4,noun,A low chest of drawers.,
lowers,1,verb,Third-person singular present tense of lower.,
lowest,2,adj,superlative form of low: most low,Yang says he remembers being able to see the glacier’s lowest edge from his home village. But that time has passed.
lowing,1,verb,Present participle of low.,
lowish,3,adj,Somewhat low.,
lubber,4,noun,An inexperienced or novice sailor; a landlubber.,
lubing,3,verb,Present participle of lube.,
lucent,4,adj,"Emitting light; shining, luminous.","Sherif Nasir led us: his lucent goodness, which provoked answering devotion even from the depraved, made him the only leader (and a benediction) for forlorn hopes."
lucked,2,verb,Past tense of luck.,
luffed,4,verb,Past tense of luff.,
lugged,3,verb,Past tense of lug.,
lugger,4,noun,That which lugs in either literal or figurative senses.,
lulled,3,verb,Past tense of lull.,
lumbar,3,adj,"Related to the lower back or loin, specifically the five vertebrae between the rib cage and the pelvis.",The lumbar spine supports the upper body and transmits the weight of the upper body to the pelvis and lower limbs.
lumber,3,noun,"Wood sawn into planks or otherwise prepared for sale or use, especially as a building material.",
lumens,3,noun,Plural of lumen.,
lummox,4,noun,"A clumsy, stupid person; an awkward bungler.","You've broken the plates, you great lummox!"
lumped,3,verb,Past tense of lump.,
lumpen,4,adj,Of or relating to social outcasts.,
lunacy,3,noun,"The state of being mad, insanity A cyclical mental disease, apparently linked to the lunar phases.",
lunged,3,adj,Having lungs (of a specified type).,
lunges,3,noun,Plural of lunge.,
lupine,4,adj,Wolfish (all senses); wolflike.,
luring,3,verb,Present participle of lure.,
lurked,3,verb,Past tense of lurk.,
lusher,3,adj,Comparative of lush.,
lushes,3,noun,Plural of lush.,
lushly,3,adv,In a lush way.,
lusted,3,verb,Past tense of lust.,
luster,3,noun,"The ability or condition of shining with reflected light; sheen, gleam, gloss, sparkle, shine, etc.",
luxury,2,noun,Very wealthy and comfortable surroundings; the state of being that they create.,
lyceum,3,noun,An association for literary improvement.,
lynxes,3,noun,Plural of lynx.,
lyrics,3,noun,Plural of lyric.,
macaws,4,noun,Plural of macaw.,
machos,4,noun,Synonym of machismo.,
macing,3,verb,Present participle of mace.,
macron,3,noun,"A short, straight, horizontal diacritical mark (◌̄) placed over a letter, usually to indicate that the pronunciation of a vowel is long.",A macron is a mark placed above a long vowel to mark its quantity.
macros,3,noun,Plural of macro.,
madame,3,noun,Alternative form of madam.,
madams,3,noun,Plural of madam.,
madcap,3,noun,"A person who acts in a capricious, impulsive, or reckless manner.",
madden,3,verb,To make angry.,
madder,4,noun,"A herbaceous plant, Rubia tinctorum, native to Asia, cultivated for a red-purple dye (alizarin) obtained from the root.",
madman,3,noun,A man who is insane or mentally disturbed.,
madmen,4,noun,plural of madman,"Hoffman's view is that all terrorists have goals, and that it is dangerous to see them only as madmen bent on destruction."
madras,3,noun,A brightly colored cotton fabric with a checked or striped pattern.,
mafias,3,noun,Plural of mafia.,
maggot,3,noun,"A soft, legless larva of a fly or other dipterous insect, that often eats decomposing organic matter.",
magnet,3,noun,A piece of material that attracts some metals by magnetism.,
magnon,4,noun,A quantum of a spin wave.,
magnum,3,noun,"A bottle containing 1.5 liters of fluid, double the volume of a standard wine bottle.",
magpie,3,noun,"One of several kinds of bird in the family Corvidae, especially Pica pica.",
mahout,3,noun,"An elephant trainer, keeper, and driver.",
maiden,3,noun,A girl or an unmarried young woman.,
mailed,2,verb,Past tense of mail.,
mailer,3,noun,One who sends mail.,
maimed,4,verb,Past tense of maim.,
mainly,2,adv,Chiefly; for the most part.,
maizes,3,noun,Plural of maize.,
makers,2,noun,Plural of maker.,
makeup,2,noun,An item's composition.,"To understand how a nuclear reactor works, we must first look at its makeup."
making,1,noun,"The act of forming, causing, or constituting; workmanship; construction.",
malady,4,noun,"Any ailment or disease of the body; especially, a lingering or deep-seated disorder.",
malice,3,noun,Intention to harm or deprive in an illegal or immoral way. Desire to take pleasure in another's misfortune.,Your voice positively drips malice.
malign,4,adj,"Evil or malignant in disposition, nature, intent or influence.",Witchcraft may be by operation of malign spirits.
mallet,3,noun,"A type of hammer with a larger-than-usual head made of wood, rubber or similar non-iron material, used by woodworkers for driving a tool, such as a chisel. A kind of maul.",We used a mallet to drive the tent pegs into the ground.
mallow,4,noun,"Any of a group of flowering plants in several genera of the taxonomic family Malvaceae, especially of the genus Malva. Several species are edible by humans.","The root of the mallow in goat's milk excites the sexual urge, according to Pliny the Elder, the Roman encyclopedist of the first century A.D."
malted,4,adj,Processed into malt.,
mambas,4,noun,Plural of mamba.,
mambos,3,noun,Plural of mambo.,
mammae,3,noun,Plural of mamma.,
mammal,3,noun,"An animal of the class Mammalia. Characterized by being warm-blooded, having hair or fur and producing milk with which to feed its young.",
manage,2,verb,To direct or be in charge of.,
manful,3,adj,Showing the characteristics considered typical of a man; macho or manly.,
manger,3,noun,A trough in a stable or barn for animals to eat from.,
mangle,4,verb,"To change, mutilate, or disfigure by cutting, tearing, rearranging, etc.",
maniac,3,noun,"An insane person, especially one who suffers from a mania.",She was driving like a maniac.
manias,3,noun,Plural of mania.,
manics,3,noun,Plural of manic.,
manila,3,adj,Made of manila paper or material like it.,
manioc,4,noun,"The tropical plant Manihot esculenta, from which tapioca is prepared; cassava, yuca.",Manioc was first reported being grown on the mainland in 1635 at the Portuguese post at Bissau.
manned,3,adj,"Operated by, performed by, or transporting a person; crewed; piloted; staffed.",
manner,2,noun,Mode of action; way of performing or doing anything.,The treacherous manner of his mournful death.
manors,3,noun,Plural of manor.,
manque,4,adj,unable to fully realise one's ambitions; would-be,
manses,4,noun,Plural of manse.,
mantas,3,noun,Plural of manta.,
mantel,3,noun,The shelf above a fireplace which may be also a structural support for the masonry of the chimney.,
mantis,3,noun,Any of various large insects of the order Mantodea that catch insects or other small animals with their powerful forelegs.,
mantle,3,noun,"A piece of clothing somewhat like an open robe or cloak, especially that worn by Orthodox bishops.",
mantra,3,noun,The hymn portions of the Vedas; any passage of these used as a prayer.,
manual,2,noun,Synonym of handbook.,
manure,3,verb,To apply manure (as fertilizer or soil improver).,
maples,3,noun,Plural of maple.,
mapped,2,verb,Past tense of map.,
mapper,3,noun,One who produces a map.,
maraca,4,noun,"A Latin American percussion instrument consisting of a hollow-gourd rattle containing pebbles or beans and often played in pairs, as a rhythm instrument.",
maraud,4,verb,To move about in roving fashion looking for plunder; to loiter.,
marble,3,noun,A metamorphic rock of crystalline limestone.,
margin,2,noun,"The edge of the paper, typically left blank when printing but sometimes used for annotations etc.",
marina,3,noun,A harbour for small boats.,It's a peaceful marina with not too many boats and yachts.
marine,2,adj,Belonging to or characteristic of the sea; existing or found in the sea; formed or produced by the sea.,
marked,2,adj,Having a visible or identifying mark.,
marker,3,noun,"Someone or something that creates marks, particularly A felt-tipped pen, a marker pen.",
market,1,noun,"A gathering of people for the purchase and sale of merchandise, often periodic at a set time.",The right to hold a weekly market was an invaluable privilege not given to all towns in the Middle Ages.
markka,4,noun,"A (Finnish) mark, the currency used in Finland before the introduction of the euro, consisting of 100 penni. Abbreviation FIM.",
markup,3,noun,The percentage or amount by which a seller hikes up their buy-in price when determining their selling price.,
marlin,3,noun,"Any species of game fish belonging to either of the genera Tetrapturus or Makaira, with a crested dorsal fin and a pointed, spear-like projection of the upper jaw.",
marmot,4,noun,Any of several large ground-dwelling rodents of the genera Marmota and Cynomys in the squirrel family.,
maroon,3,noun,An escaped black slave of the Caribbean and the Americas or a descendant of such a person.,
marque,4,noun,"A brand of a manufactured product, especially of a motor car.",The group wants Rover as its luxury marque and MG as the performance car.
marred,3,adj,"Spoilt, cosseted, overly indulged, soft.",
marrow,3,noun,The substance inside bones which produces blood cells.,
marshy,4,adj,"Of, or resembling a marsh; boggy.","Engineers chose a site for the 480-hectare plant on marshy ground at Hsiaokang, a small township near the southern seaport of Kaohsiung."
marten,4,noun,Any carnivorous mammal of the genus Martes.,
martin,2,noun,"Many of the various passerine birds of the family Hirundinidae, which also includes swallows, that catch insects whilst flying.",
martyr,3,noun,"One who willingly accepts being put to death or willingly accepts challenging and exposing iniquity done to oneself for adhering openly to one's religious beliefs; notably, saints canonized after red martyrdom.",Saint Stephen was the first Christian martyr.
marvel,2,noun,That which causes wonder; a prodigy; a portent.,
masala,4,noun,"Any of many blends of spices used in Indian cuisine, most often containing cardamom, coriander, mace together with pepper, nutmeg, fennel seeds, jeera etc.",
mascot,3,noun,Something thought to bring good luck.,
masers,4,noun,Plural of maser.,
mashed,3,verb,Past tense of mash.,
masher,4,noun,"One who, or that which, mashes.",
mashes,3,verb,Third-person singular present tense of mash.,
mashup,3,noun,"Something consisting of two or more elements combined together. An artistic work that consists primarily of parts borrowed from other works, or features a mixture of genres.",
masked,3,verb,simple past and past participle of mask,
masker,4,verb,To render giddy or senseless,"To masker their troubled heads the more, hee assaileth them with a great shout and maine violence."
masons,2,noun,Plural of mason.,
masque,4,noun,"A dramatic performance, often performed at court as a royal entertainment, consisting of dancing, dialogue, pantomime and song.",
massed,4,verb,Past tense of mas.,
masses,3,noun,plural of mass,
massif,4,noun,A principal mountain mass.,
masted,3,adj,Having (the specified kind or number of) masts.,
master,2,noun,Someone who has control over something or someone.,
mastic,3,noun,"An evergreen shrub or small tree, Pistacia lentiscus (mastic tree), native to the Mediterranean.",
maters,3,noun,Plural of mater.,
mateys,4,noun,Plural of matey.,
mating,3,adj,"Fitting into or onto a corresponding part, as a matched plug and socket.",
matins,4,noun,"Together with lauds, the earliest of the canonical hours; traditionally prayed at sunrise or earlier.",
matrix,2,noun,The cavity or mold in which anything is formed.,
matron,3,noun,"A mature or elderly woman, especially one of a higher social rank.",
matted,3,verb,Past tense of mat.,
matter,1,noun,Material; substance. Anything with mass and volume.,
mattes,3,noun,Plural of matte.,
mature,2,adj,"Fully developed; grown up in terms of physical appearance, behaviour or thinking; ripe.",She is quite mature for her age.
mauled,3,verb,simple past and past participle of maul,
mauler,3,noun,One who mauls.,
mavens,3,noun,Plural of maven.,
maxima,2,noun,Plural of maximum.,
maxims,3,noun,Plural of maxim.,
maxing,2,verb,Present participle of max.,
maybes,1,noun,Plural of maybe.,
mayday,3,noun,An international distress signal used by shipping and aircraft.,
mayfly,4,noun,Any of the many fragile insects of the order Ephemeroptera that develop in fresh water and live very briefly as winged adults.,"While some animals take months to reproduce, mayfly need just one perfect day."
mayhem,3,noun,"A state or situation of great confusion, disorder, trouble or destruction; chaos.","In all the mayhem, some children were separated from their parents."
mayors,2,noun,Plural of mayor.,
meadow,3,noun,"A field or pasture; a piece of land covered or cultivated with grass, usually intended to be mown for hay.","Our part of the veranda did not hang over the gorge, but edged the meadow where half a dozen large and sleek horses had stopped grazing to join us."
meager,3,adj,Having little flesh; lean; thin.,
meaner,3,noun,One who means or intends something.,
meanie,3,noun,A mean (unkind or miserly) person; a killjoy.,
meanly,3,adv,"Humbly, of or from low social status; basely.",
measly,3,adj,Particularly of pigs or pork: infected with larval tapeworms or trichinae (parasitic roundworms).,"Then take five or six apples, pick out the cores and fill up the holes thus made with flour of brimstone; stop up the holes and cast in the apples to the measly hog."
medals,2,noun,Plural of medal.,
meddle,3,verb,To interfere in or with; to concern oneself with unduly.,
medial,3,adj,Of or pertaining to a mean or average.,
median,2,noun,A line segment joining the vertex of triangle to the midpoint of the opposing side.,
medico,4,noun,A physician or medical doctor; sometimes also a medical student.,"He has been an Army medico since the Spanish War, active student of X-ray leprosy treatments and degassing processes."
medics,3,noun,plural of medic,
medium,2,noun,"The material of the surrounding environment, e.g. solid, liquid, gas, vacuum, or a specific substance such as a solvent.",
medley,3,noun,A collection or mixture of miscellaneous things.,"Love is a medley of endearments, jars, / Suspicions, reconcilements, wars."
medusa,3,noun,"A jellyfish; specifically, a non-polyp form of individual cnidarians, consisting of a gelatinous umbrella-shaped bell and trailing tentacles.",
meeker,3,adj,Comparative of meek.,
meekly,3,adv,In a meek manner; quietly and humbly.,
meetup,3,noun,An arranged informal meeting.,
melded,3,verb,Past tense of meld.,
melees,4,noun,Plural of melee.,
mellow,3,adj,Soft or tender by reason of ripeness; having a tender pulp.,"A little longer, yet a little longer, / And Nature drops him down, without your Sin, / Like mellow Fruit, without a Winter Storm."
